type,canonical,alias,language,category,confidence,notes
brand,1 de carrefour,1 de carrefour,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,25 morceaux,25 morceaux,brand,beauty,0.86,open_facts:en.openproductsfacts.org.products.csv.gz; count=2
brand,3 kg,3 kg,brand,beauty,0.86,open_facts:en.openproductsfacts.org.products.csv.gz; count=2
brand,50 ml,50 ml,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,8in1,8in1,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,900.care,900.care,brand,beauty,0.90,open_facts:en.openbeautyfacts.org.products.csv.gz; count=22
brand,900care,900care,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,a bicyclette,a bicyclette,brand,beauty,0.86,open_facts:en.openfoodfacts.org.products.csv.gz; count=2
brand,A Food clean,A Food clean,brand,beauty,0.86,open_facts:en.openproductsfacts.org.products.csv.gz; count=2
brand,Aagaard Propolis,Aagaard Propolis,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Absolution,Absolution,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Abusaad Cosmetiques,Abusaad Cosmetiques,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Acroelle,Acroelle,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Addax,Addax,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=6
brand,AgeDefy,AgeDefy,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Air Val international,Air Val international,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Ajona,Ajona,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Al Bara,Al Bara,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Aleppo savonnerie traditionnelle,Aleppo savonnerie traditionnelle,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Aleppo Soap & Co,Aleppo Soap & Co,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Aleyria Cosmétiques,Aleyria Cosmétiques,brand,beauty,0.90,open_facts:en.openbeautyfacts.org.products.csv.gz; count=22
brand,Aliver,Aliver,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,All Blacks,All Blacks,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Allo Nature,Allo Nature,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Alpecin,Alpecin,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Alphanova Santé,Alphanova Santé,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Alphanova Sun,Alphanova Sun,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=4
brand,Alsa,Alsa,brand,beauty,0.90,open_facts:en.openfoodfacts.org.products.csv.gz; count=18
brand,Aluna,Aluna,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Alva,Alva,brand,beauty,0.86,open_facts:en.openbeautyfacts.org.products.csv.gz; count=2
brand,Alvania,Alvania,brand,beauty,0.87,open_facts:en.openbeautyfacts.org.products.csv.gz; count=6
